21.8811 0.12409 0.150089
21.1751 0.12674 0.154299
20.5361 0.129416 0.158686
19.9611 0.132085 0.163277
19.4321 0.134789 0.168212
18.9511 0.137495 0.173316
18.5121 0.140196 0.178726
18.1051 0.142931 0.184434
17.7311 0.145652 0.19032
17.3861 0.148377 0.196635
17.0651 0.151113 0.203177
16.7691 0.153831 0.209971
16.4921 0.156558 0.217207
16.2341 0.159275 0.224635
15.9951 0.161972 0.232452
15.7691 0.164678 0.240617
15.5591 0.167357 0.248975
15.3621 0.170021 0.257883
15.1761 0.172674 0.267012
15.0031 0.175298 0.276458
14.8391 0.177906 0.286381
14.6841 0.180487 0.296492
14.5391 0.183036 0.3071
14.4011 0.185565 0.318022
14.2721 0.188057 0.329174
14.1491 0.190517 0.340913
14.0331 0.192943 0.352822
13.9231 0.19533 0.365155
13.8191 0.197681 0.377874
13.7211 0.19999 0.390741
13.6271 0.202258 0.404243
13.5381 0.204482 0.417891
13.4541 0.206661 0.431886
13.3741 0.208795 0.446293
13.2981 0.21088 0.460801
13.2251 0.21292 0.475878
13.1571 0.214906 0.491087
13.0911 0.216844 0.506569
13.0291 0.218733 0.522429
12.9691 0.220564 0.538328
12.9131 0.222348 0.554726
12.8591 0.224076 0.571191
12.8081 0.225749 0.587869
12.7591 0.227376 0.604831
12.7131 0.228938 0.62176
12.6681 0.230451 0.639117
12.6261 0.231912 0.656428
12.5861 0.233311 0.673908
12.5481 0.234664 0.691521
12.5121 0.235956 0.709065
